Code;Nom_commune;Code_postal;Zonage dentistes
01359;ST GERMAIN SUR RENON;01240;1_Tres_sous_dotee
01360;ST JEAN DE GONVILLE;01630;1_Tres_sous_dotee
01361;ST JEAN DE NIOST;01800;1_Tres_sous_dotee
01362;ST JEAN DE THURIGNEUX;01390;3_intermediaire
01363;ST JEAN LE VIEUX;01640;3_intermediaire
01364;ST JEAN SUR REYSSOUZE;01560;1_Tres_sous_dotee
01365;ST JEAN SUR VEYLE;01290;3_intermediaire
01366;STE JULIE;01150;3_intermediaire
01367;ST JULIEN SUR REYSSOUZE;01560;1_Tres_sous_dotee
01368;ST JULIEN SUR VEYLE;01540;1_Tres_sous_dotee
01369;ST JUST;01250;3_intermediaire
01370;ST LAURENT SUR SAONE;01750;3_intermediaire
01371;ST MARCEL;01390;2_Sous_dotee
01372;ST MARTIN DE BAVEL;01510;1_Tres_sous_dotee
01373;ST MARTIN DU FRENE;01430;1_Tres_sous_dotee
01374;ST MARTIN DU MONT;01160;1_Tres_sous_dotee
01375;ST MARTIN LE CHATEL;01310;1_Tres_sous_dotee
01376;ST MAURICE DE BEYNOST;01700;3_intermediaire
01378;ST MAURICE DE GOURDANS;01800;1_Tres_sous_dotee
01379;ST MAURICE DE REMENS;01500;3_intermediaire
01380;ST NIZIER LE BOUCHOUX;01560;1_Tres_sous_dotee
01381;ST NIZIER LE DESERT;01320;2_Sous_dotee
01382;STE OLIVE;01330;2_Sous_dotee
01383;ST PAUL DE VARAX;01240;1_Tres_sous_dotee
01384;ST RAMBERT EN BUGEY;01230;3_intermediaire
01385;ST REMY;01310;3_intermediaire
01386;ST SORLIN EN BUGEY;01150;3_intermediaire
01387;ST SULPICE;01340;1_Tres_sous_dotee
01388;ST TRIVIER DE COURTES;01560;1_Tres_sous_dotee
01389;ST TRIVIER SUR MOIGNANS;01990;1_Tres_sous_dotee
01390;ST VULBAS;01150;3_intermediaire
01391;SALAVRE;01270;1_Tres_sous_dotee
01392;SAMOGNAT;01580;3_intermediaire
01393;SANDRANS;01400;1_Tres_sous_dotee
01396;SAULT BRENAZ;01150;1_Tres_sous_dotee
01397;SAUVERNY;01220;3_intermediaire
01398;SAVIGNEUX;01480;3_intermediaire
01399;SEGNY;01170;3_intermediaire
